name,brand,price,rating,reviews,link,search_query,image_url,description,availability,loyaltypoints
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 40 Hours Playtime, Bluetooth 5.3, Workout/Travel (Apricot)",Hammer,2299,3.7,3136,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDQ0Mzk4OTk5NTUyODM4OjE3NDE0MjY2OTU6c3BfYXRmOjMwMDQ3NzQzMjczNTEzMjo6MDo6&url=%2FHAMMER-Bash-Max-Bluetooth-Headphones%2Fdp%2FB0CBFYNWWG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1741426695%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Headphone,https://m.media-amazon.com/images/I/315ZO+wzU7L._SY300_SX300_.jpg,"About this item Touch Control Headphone - Change track  Volume control with the touch controls on the headphone 40 Hours Playtime - Enjoy an extended listening time with your favorite tracks on repeat with Bash Max overhead headphones that boasts of up to 40 hours of playtime Comfort Fit - Wear them for as long as you want. With the comfort fit design, you will barely feel them around your ears Latest Bluetooth v5.3 With its strong and stable connectivity with up to 10M and built-in mic ensures good calling experience Superior Sound Bash Max Hammer headphone are powered by 40 MM powerful sound drivers for great sound experience. Quality Ear Cushions - It has been ergonomically designed and structured as an over-ear headphone to provide the best user experience with its good quality ear cushions  See more product details",33,229
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)",Boat,1499,4,115737,https://www.amazon.in/Boat-Rockerz-450-Lightweight-Compatibility/dp/B086671ZSR/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-3,Headphone,https://m.media-amazon.com/images/I/31DU-7yXUyL._SX300_SY300_QL70_FMwebp_.jpg,"About this item Playback- It provides a massive battery backup of upto 15 hours for a superior playback time. Drivers- Its 40mm dynamic drivers help pump out immersive HD audio all day long. Charging Time 3 hours Earcushions- It has been ergonomically designed and structured as an on-ear headphone to provide the best user experience with its comfortable padded earcushions and lightweight design Controls- You can control your music without hiccups using the easy access controls, communicate seamlessly using the built-in mic, access voice assistant and always stay in the zone Dual Modes- One can connect to boAt Rockerz 450 via not one but two modes, Bluetooth as well as AUX 1 year warranty from the date of purchase headphones, boat headphones, bluetooth earphones, neckband earphones, earbuds bluetooth wireless, boat neckband, neckband, earphones wireless, bluetooth earphones wireless, wireless earphones bluetooth, neck band, wireless earphones, earphones, earphone, ear phone, ear phones, boat bluetooth earphones, boat rockerz 255 pro plus, boat Rockerz 450, rockerz 450, boat bluetooth headphones, boat rockerz 255, boat wireless earphones, boat bluetooth earphones wireless, boat earphones, boat wireless  See more product details",53,149
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),Boat,297,4.1,415342,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-4,Headphone,https://m.media-amazon.com/images/I/313U7Xx9b4L._SX300_SY300_QL70_FMwebp_.jpg,"About this item The perfect way to add some style and stand out from the crowd with the boAt BassHeads 100 Hawk inspired earphones. Impedance 16Ω, Sensitivity dB 92db 3db, Frequency Response 20Hz-20KHz The stylish BassHeads 100 superior coated wired earphones are a definite fashion statement - wear your attitude with its wide variety of collection The powerful 10mm dynamic driver with the speaker resistance of 16 ohm enables the earphone to deliver a punchy, rhythmic response to the most demanding tracks Features a HD microphone to make crystal clear calls - making life easier on the go, playpause music or answerend calls with one-click, track forward with two-clicks or back with 3 clicks make these earphones extremely user-friendly With 1.2 meters perfect length cable now plug it in anywhere with ease - while the earphones are extremely user-friendly and stylish, extruding premium coating on the wire cable is a manufacturing process that weve been performing and refining since our companys inception Its impeccable fit wont let you take these wonderfully amazing earphones off, fits you perfectly without hurting your ears and the perfect arc, with different size ear tips helps you in achieving superior comfort even with long listening hours. 1 year warranty from the date of purchase  See more product details",58,29
"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Black",Sony,3989,4.2,17809,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-5,Headphone,https://m.media-amazon.com/images/I/318RvHnDwHL._SX300_SY300_QL70_FMwebp_.jpg,"About this item With up to 50-hour battery life and quick charging, youll have enough power for multi-day road trips and long festival weekends. Great sound quality customizable to your music preference with EQ Custom on the Sony  Headphones Connect App. Boost the quality of compressed music files and enjoy streaming music with high quality sound through DSEE. Designed to be lightweight and comfortable for all-day use. Crystal clear hands-free calling with built-in mic. Multipoint connection allows you to quickly switch between two devices at once. Find your headphones easily with Fast Pair  See more product details",53,398
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",Zebronics,699,3.8,75791,https://www.amazon.in/ZEBRONICS-Bluetooth-Headphones-assistant-Comfortable/dp/B07L8KNP5F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-6,Headphone,https://m.media-amazon.com/images/I/417gW8O1RzL._SX300_SY300_QL70_FMwebp_.jpg,"About this item Comfortable Design Beat the workday blues with music on Zeb-Thunder wireless headphone that comes in an ergonomic design a perfect fit and design for long hours use. Microphone sensitivity -40dB 1dB. Microphone impedance 1.2k Ω Soft  comfortable earcups Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear Adjustable headband Adust your headband to your comfortable best while you work or listen to music 60hrs Playback Time Fall in love with the audio experience with 9 hours of playback time to keep you going. Sensitivity  -113dB 3dB Superior Sound Quality Magnify every speck of sound with superior sound quality on Zeb-Thunder wireless headphone Call Function Enjoy online conference, online classes, calls hands-free with a built in mic on the headphone Multi Connectivity Options Be spoilt for choice with multi-connectivity options like like BT, 3.5mm AUX input, FM and MicroSD card  See more product details",74,69
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",Boat,898,4.2,98203,https://www.amazon.in/boAt-Bassheads-900-Pro-Unidirectional/dp/B0DHDDF5J2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-7,Headphone,https://m.media-amazon.com/images/I/4192vscwlSL._SX300_SY300_QL70_FMwebp_.jpg,"About this item 40mm Drivers Plug in the boAt BassHeads 900 Pro Wired Headphones and enter the audio realm with 40 mm drivers that lend crisp audio. Be it gaming or indulging in OTT content, these headphones are your perfect audio companion. Lightweight Build Stay comfortable wearing these headphones for long hours, courtesy of the lightweight design. Remote Control Use the inline controls to scroll and adjust the volume to your desired level. Additionally, you can mute or unmute the sound with the handy mute control switch. Unidirectional Mic Featuring a unidirectional microphone, BassHeads 900 Pro is ideal for having in-game conversations with your squad and online calls. Foldable Design Thanks to the foldable design, these headphones occupy minimum space in your audio setup. When not in use, you can fold these headphones easily and stow them away for subsequent usage.  See more product details",41,89
"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Controls, IPX5 Wireless Headphones (Black)",Boult,1799,4.2,1747,https://www.amazon.in/Boult-Bluetooth-Headphones-Playtime-Charging/dp/B0DFHFH16K/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-8,Headphone,https://m.media-amazon.com/images/I/318EgLiOMUL._SX300_SY300_QL70_FMwebp_.jpg,"About this item  70H Playtime Boult Q wireless over-ear headphones offer an impressive 70 hours of playtime, ensuring you can enjoy non-stop music, calls, or gaming without worrying about frequent charging interruptions.  40mm Bass Drivers Feel the power of deep, rich bass with 40mm drivers, designed to deliver an immersive audio experience in these Bluetooth headphones, perfect for music lovers seeking enhanced sound quality.  ENC Calling Mic Experience crystal-clear calls with ENC mic technology, reducing background noise for seamless communication, making these Boult Q headphones perfect for work or on-the-go calls.  Type-C Fast Charging Recharge quickly with Type-C fast charging, so your Boult Q wireless headphones are ready for long sessions, giving you hours of playback after just a short charge.  Dual Device DSPExperience unparalleled audio processing Dual Stream DSP technology. Enjoy simultaneous dual instruction audio processing for swift and synchronous audio transfer. Elevate your listening experience with adaptive audio equalization, ensuring that every note, beat, and nuance is finely tuned to perfection. Immerse yourself in a world of audio excellence, where advanced technology meets seamless performance  AUX Option Switch seamlessly to wired listening with the AUX input when needed, ensuring uninterrupted sound quality with your Boult over-ear headphones, even when the battery runs low.  4 EQ Modes Customize your audio experience with 4 EQ modes  Bass, Rock, Pop, and Vocal  letting you switch between different sound profiles for various music genres on these headphones.  IPX5 Built to withstand sweat and light splashes, these IPX5-rated Bluetooth headphones are ideal for outdoor activities, workouts, or commuting in various weather conditions.  Bluetooth 5.4 Equipped with Bluetooth 5.4, these wireless over-ear headphones ensure stable connections, faster pairing, and efficient performance for seamless, high-quality audio streaming.  1 Year Warranty Quick and easy registration on website to avail extended warranty Show More  See more product details",27,179
Logitech H111 Wired On Ear Headphones With Mic Black,Logitech,695,3.9,18406,https://www.amazon.in/Logitech-H111-Stero-Headset-Black/dp/B00Y4ORQ46/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-9,Headphone,https://m.media-amazon.com/images/I/31puHGasbOL._SX300_SY300_QL70_FMwebp_.jpg,"About this item ADJUSTABLE HEADBAND This sturdy yet lightweight stereo headset has a broad range of adjustment. Ultra-soft foam ear cushions provide hours of comfort. ROTATING MICROPHONE The boom mic can rotate 180 to be worn on the left or right and tucked out of the way when youre not using it. The flexible mic can be positioned for better voice capture and background noise reduction MULTI DEVICE HEADSET WITH NOISE CANCELLING MICThe simple way to start talking when using computers, smartphones and tablets. Features a standard 3.5mm audio jack and is compatible with most operating systems and platforms. Get just what you need to hear and be heard clearly. STEREO SOUND Enjoy clear audio for calls, music, and games. A reliable headset for daily audio including video calls with family or colleagues. Frequency response Headset 20 Hz - 20 KHz 3.5MM AUDIO JACK CONNECTIONSimply plug the 3.5mm jack into your computer, smartphone or tablet and youre ready to talk. SYSTEM COMPATIBILTYComputers smartphonestablets WindowsMacChrome OS  more  See more product details",87,69
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",JBL,2499,4,19439,https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA&dib_tag=se&keywords=headphones&qid=1741426695&sr=8-10,Headphone,https://m.media-amazon.com/images/I/31SNd2tQupS._SX300_SY300_QL70_FMwebp_.jpg,"About this item JBL PURE BASE SOUND Packed with 32mm Dynamic drivers, the JBL Tune 510BT features the renowned JBL Pure Bass sound, which can be found in the most famous venues all around the world.UPTO 40 HOURS PLAYTIME Designed for long playhours, the Tune 510BT allows you to Listen wirelessly upto 40 hours non-stop under optimal audio settings. QUICK CHARGING With its superior USB Type-C charging cable, a quick 5 min recharge of your Tune 510BT provides you with playtime upto 2 Hours while in a span of 2 hours, get your headphones completely charged up.DUAL PAIRING The Multi Point Connectivity Dual Pairing on Tune 510BT allows youto effortlessly switch between 2 Bluetooth devices. Its a smooth transition when you have to receive a call on your mobile phone call while you are watching a video on your tab. VOICE ASSISTANT INTEGRATION Siri or Hey Google is just a button away activate the voice assistant of your device by pushing the multi-function button on the earcup.HANDS FREE CALLS The button controls on the earcup of Tune 510BT, allows you to easily control your sound and manage your calls from your headphones. BLUETOOTH 5.0 Equipped with Blueooth 5.0, wirelessly stream high quality sound from your mobile or tab without messy cords. IN THE BOX PACKAGE 1 x Tune 510BT headphones, 1 x USB-C Charging Cable, 1 x WarrantyWarning 1 x QSG Model Jblt510btblk  See more product details",64,249
Sonos Ace - Black - Wireless Over Ear Headphones with Noise Cancellation,Noise,29999,4.2,309,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDQ0Mzk4OTk5NTUyODM4OjE3NDE0MjY2OTU6c3BfbXRmOjMwMDM0NTM4MzcyNTczMjo6MDo6&url=%2FSonos-Ace-Wireless-Headphones-Cancellation%2Fdp%2FB0D37H1T6H%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.Hq1xtBoGJu1eVLw9V-ZqnzVNtx8ebgtwa4OldaAe_2qzM9VdkixQCduZj-mVwzAPyG0OKXyBdFHqeyOl49BOm_dTfPy93iKDNmbAP64Cjv1sKKFjIA_fnon_LfdC320RoJc42su0vSCRcbBnJ5orZQKQ_xt3U1L1B2dOH7UWOE6JmDKRl3eQTzdLRBO44-J2-aiC4L73aOs_0HxclNwT_G_5M6KxF49AWsMxqNNVYvo.6Bf6yZj-eEOV0-tZoe-LBldHaHUt1eTPTemQXqjCJyA%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1741426695%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Headphone,https://m.media-amazon.com/images/I/21mSvLkC2QL._SX300_SY300_QL70_FMwebp_.jpg,"Meticulously engineered and tuned by the most discerning ears in the industry, Sonos Ace creates the deepest connection to sound. Each custom-designed component combines with our advanced software to surround you in the highest-fidelity audio. From crystal clear highs to powerful lows, every note feels more profound",35,2999
